Member_number,Date,itemDescription,cleaned,mapped
1808,21-07-2015,tropical fruit,tropical fruit,tropical fruit
2552,05-01-2015,whole milk,whole milk,whole milk
2300,19-09-2015,pip fruit,pip fruit,pip fruit
1187,12-12-2015,other vegetables,other vegetables,vegetables
3037,01-02-2015,whole milk,whole milk,whole milk
4941,14-02-2015,rolls/buns,rollsbuns,bakery
4501,08-05-2015,other vegetables,other vegetables,vegetables
3803,23-12-2015,pot plants,pot plants,gardening
2762,20-03-2015,whole milk,whole milk,whole milk
4119,12-02-2015,tropical fruit,tropical fruit,tropical fruit
1340,24-02-2015,citrus fruit,citrus fruit,citrus fruit
2193,14-04-2015,beef,beef,beef
1997,21-07-2015,frankfurter,frankfurter,meat
4546,03-09-2015,chicken,chicken,meat
4736,21-07-2015,butter,butter,butter
1959,30-03-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1974,03-05-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
2421,02-09-2015,chocolate,chocolate,sweets
1513,03-08-2015,specialty bar,specialty bar,specialty bar
1905,07-07-2015,other vegetables,other vegetables,vegetables
2810,08-09-2015,butter milk,butter milk,dairy
2867,12-11-2015,whole milk,whole milk,whole milk
3962,18-09-2015,tropical fruit,tropical fruit,tropical fruit
1088,30-11-2015,tropical fruit,tropical fruit,tropical fruit
4976,17-07-2015,bottled water,bottled water,bottled water
4056,12-06-2015,yogurt,yogurt,yogurt
3611,13-02-2015,sausage,sausage,sausage
1420,14-01-2015,other vegetables,other vegetables,vegetables
4286,08-03-2015,brown bread,brown bread,brown bread
4918,27-01-2015,yogurt,yogurt,yogurt
4783,22-10-2015,hamburger meat,hamburger meat,meat
3709,26-10-2015,root vegetables,root vegetables,root vegetables
4289,08-10-2015,pork,pork,meat
1559,03-10-2015,beef,beef,beef
2900,11-04-2015,pastry,pastry,pastry
1905,21-02-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3527,29-09-2015,canned beer,canned beer,beverages
1495,09-01-2015,root vegetables,root vegetables,root vegetables
3558,03-04-2015,citrus fruit,citrus fruit,citrus fruit
3128,20-04-2015,sausage,sausage,sausage
1863,04-08-2015,tropical fruit,tropical fruit,tropical fruit
3841,19-07-2015,berries,berries,berries
3903,06-10-2015,canned beer,canned beer,beverages
2658,16-10-2015,butter milk,butter milk,dairy
4272,06-06-2015,coffee,coffee,coffee
1120,26-09-2015,pastry,pastry,pastry
2676,15-08-2015,rolls/buns,rollsbuns,bakery
1697,21-05-2015,misc. beverages,misc beverages,misc beverages
2507,25-08-2015,root vegetables,root vegetables,root vegetables
4620,11-03-2015,sausage,sausage,sausage
3365,01-02-2015,canned beer,canned beer,beverages
2978,05-06-2015,ham,ham,meat
2910,28-07-2015,turkey,turkey,meat
1061,05-09-2015,whole milk,whole milk,whole milk
3276,03-04-2015,whole milk,whole milk,whole milk
1326,19-06-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
3023,28-07-2015,rolls/buns,rollsbuns,bakery
2185,11-10-2015,ham,ham,meat
3552,16-06-2015,rolls/buns,rollsbuns,bakery
1967,20-01-2015,other vegetables,other vegetables,vegetables
4708,20-03-2015,sausage,sausage,sausage
2874,15-02-2015,sausage,sausage,sausage
4177,13-04-2015,frankfurter,frankfurter,meat
1663,07-02-2015,rolls/buns,rollsbuns,bakery
2632,02-03-2015,whole milk,whole milk,whole milk
1377,14-03-2015,curd cheese,curd cheese,dairy
4162,22-12-2015,red/blush wine,redblush wine,beverages
2270,01-07-2015,sausage,sausage,sausage
4829,03-11-2015,tropical fruit,tropical fruit,tropical fruit
3811,14-04-2015,red/blush wine,redblush wine,beverages
4766,29-09-2015,whole milk,whole milk,whole milk
2436,12-04-2015,frankfurter,frankfurter,meat
3860,05-05-2015,whole milk,whole milk,whole milk
4875,12-05-2015,frozen potato products,frozen potato products,frozen potato products
1587,01-07-2015,other vegetables,other vegetables,vegetables
4038,08-07-2015,citrus fruit,citrus fruit,citrus fruit
4750,21-09-2015,flour,flour,grains
1199,10-12-2015,sugar,sugar,sweeteners
1603,30-09-2015,frozen meals,frozen meals,frozen meals
3111,31-01-2015,chocolate,chocolate,sweets
3894,13-12-2015,root vegetables,root vegetables,root vegetables
1456,18-09-2015,root vegetables,root vegetables,root vegetables
2022,04-03-2015,herbs,herbs,herbs
2505,30-11-2015,bottled water,bottled water,bottled water
4851,20-12-2015,sausage,sausage,sausage
4293,04-08-2015,coffee,coffee,coffee
2775,06-11-2015,pork,pork,meat
3693,18-02-2015,berries,berries,berries
1202,22-07-2015,soda,soda,soda
3699,23-08-2015,berries,berries,berries
4152,15-04-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4155,26-01-2015,citrus fruit,citrus fruit,citrus fruit
4010,29-12-2015,pork,pork,meat
4389,20-10-2015,detergent,detergent,cleaning
3746,17-08-2015,grapes,grapes,fruits
2560,17-05-2015,sausage,sausage,sausage
1503,25-07-2015,chicken,chicken,meat
2555,23-12-2015,whole milk,whole milk,whole milk
3645,12-12-2015,citrus fruit,citrus fruit,citrus fruit
3886,11-09-2015,soda,soda,soda
2932,20-03-2015,sausage,sausage,sausage
1711,18-06-2015,frankfurter,frankfurter,meat
4291,08-12-2015,sausage,sausage,sausage
1143,25-04-2015,soda,soda,soda
4564,08-07-2015,rolls/buns,rollsbuns,bakery
3337,14-05-2015,beef,beef,beef
4931,04-05-2015,whole milk,whole milk,whole milk
2623,10-10-2015,processed cheese,processed cheese,dairy
4581,03-04-2015,tropical fruit,tropical fruit,tropical fruit
2635,11-06-2015,frankfurter,frankfurter,meat
1095,30-10-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
2990,23-05-2015,whole milk,whole milk,whole milk
2426,05-06-2015,berries,berries,berries
4555,07-11-2015,citrus fruit,citrus fruit,citrus fruit
3635,04-09-2015,tropical fruit,tropical fruit,tropical fruit
3058,18-05-2015,hamburger meat,hamburger meat,meat
4391,26-03-2015,hamburger meat,hamburger meat,meat
1306,23-06-2015,whole milk,whole milk,whole milk
1024,10-08-2015,fish,fish,fish
1295,23-07-2015,frankfurter,frankfurter,meat
1661,01-06-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
4591,15-05-2015,pastry,pastry,pastry
3169,14-06-2015,other vegetables,other vegetables,vegetables
3915,21-05-2015,misc. beverages,misc beverages,misc beverages
1127,14-01-2015,frankfurter,frankfurter,meat
4828,08-08-2015,sparkling wine,sparkling wine,beverages
3683,10-06-2015,specialty bar,specialty bar,specialty bar
1971,18-09-2015,sausage,sausage,sausage
3014,11-11-2015,curd cheese,curd cheese,dairy
3779,15-09-2015,frankfurter,frankfurter,meat
2489,04-05-2015,whole milk,whole milk,whole milk
3564,27-06-2015,newspapers,newspapers,stationery
4092,30-09-2015,berries,berries,berries
3221,13-01-2015,curd,curd,curd
1279,06-09-2015,tropical fruit,tropical fruit,tropical fruit
2581,22-08-2015,soda,soda,soda
2295,25-02-2015,rolls/buns,rollsbuns,bakery
4760,22-02-2015,canned beer,canned beer,beverages
3649,16-01-2015,canned beer,canned beer,beverages
1075,19-11-2015,frankfurter,frankfurter,meat
3987,19-08-2015,other vegetables,other vegetables,vegetables
4106,25-08-2015,whole milk,whole milk,whole milk
4338,24-06-2015,whole milk,whole milk,whole milk
4166,06-11-2015,citrus fruit,citrus fruit,citrus fruit
1211,10-03-2015,frankfurter,frankfurter,meat
3954,21-01-2015,frankfurter,frankfurter,meat
3928,18-07-2015,butter milk,butter milk,dairy
3827,30-09-2015,hamburger meat,hamburger meat,meat
4699,08-02-2015,pasta,pasta,grains
4747,08-06-2015,other vegetables,other vegetables,vegetables
3028,09-06-2015,sausage,sausage,sausage
2851,16-03-2015,rolls/buns,rollsbuns,bakery
4417,25-02-2015,grapes,grapes,fruits
3822,07-03-2015,root vegetables,root vegetables,root vegetables
2288,31-05-2015,coffee,coffee,coffee
2184,30-06-2015,popcorn,popcorn,snacks
4554,27-08-2015,whole milk,whole milk,whole milk
3361,05-03-2015,tropical fruit,tropical fruit,tropical fruit
2999,17-04-2015,beef,beef,beef
2614,25-06-2015,whole milk,whole milk,whole milk
4064,05-06-2015,frankfurter,frankfurter,meat
3567,04-10-2015,tropical fruit,tropical fruit,tropical fruit
2587,07-05-2015,canned beer,canned beer,beverages
3783,17-06-2015,finished products,finished products,misc
1923,14-02-2015,beverages,beverages,beverages
4835,19-02-2015,hamburger meat,hamburger meat,meat
1514,24-08-2015,whole milk,whole milk,whole milk
3154,22-06-2015,finished products,finished products,misc
1313,25-12-2015,other vegetables,other vegetables,vegetables
2794,18-07-2015,ham,ham,meat
2359,09-04-2015,other vegetables,other vegetables,vegetables
2238,09-03-2015,curd,curd,curd
3795,17-01-2015,bottled beer,bottled beer,beverages
3724,26-11-2015,curd,curd,curd
1152,05-03-2015,whole milk,whole milk,whole milk
4559,16-03-2015,whole milk,whole milk,whole milk
3922,27-02-2015,dessert,dessert,dessert
1709,22-04-2015,sausage,sausage,sausage
2219,17-04-2015,other vegetables,other vegetables,vegetables
2206,17-10-2015,ham,ham,meat
1752,06-04-2015,other vegetables,other vegetables,vegetables
3942,10-11-2015,other vegetables,other vegetables,vegetables
3296,17-08-2015,soda,soda,soda
2257,05-02-2015,herbs,herbs,herbs
4313,28-07-2015,frankfurter,frankfurter,meat
2001,21-08-2015,rolls/buns,rollsbuns,bakery
2449,08-07-2015,curd,curd,curd
