Member_number,basket
1000,"['whole milk', 'pastry', 'snacks', 'pickled vegetables', 'misc beverages', 'hygiene articles', 'soda', 'semifinished bread', 'yogurt', 'beverages', 'sausage']"
1001,"['beef', 'dairy', 'whole milk', 'curd', 'soda', 'meat', 'bakery', 'sausage']"
1002,"['whole milk', 'tropical fruit', 'butter', 'sweeteners', 'vegetables', 'dairy', 'sweets']"
1003,"['dental care', 'frozen meals', 'cleaning', 'root vegetables', 'bakery', 'sausage']"
1004,"['sweets', 'pip fruit', 'whole milk', 'tropical fruit', 'pastry', 'hygiene articles', 'bags', 'fruits_vegetables', 'vegetables', 'cleaning', 'root vegetables', 'beverages', 'fish', 'bakery']"
1005,"['dairy', 'margarine', 'bakery']"
1006,"['whole milk', 'bottled water', 'bakery', 'bags', 'personal_care', 'cleaning', 'grains', 'beverages', 'meat', 'sweets']"
1008,"['tropical fruit', 'electronics', 'liquor appetizer', 'dessert', 'soda', 'liver loaf', 'yogurt', 'domestic eggs', 'root vegetables', 'beverages', 'meat']"
1009,"['stationery', 'canned fish', 'pastry', 'condiments', 'tropical fruit', 'yogurt', 'beverages', 'herbs']"
1010,"['pip fruit', 'specialty bar', 'household', 'sliced cheese', 'bottled water', 'uhtmilk', 'decor', 'meat', 'coffee', 'bakery']"
1011,"['sweets', 'dairy', 'whole milk', 'pastry', 'bottled water', 'fruits', 'decor', 'bakery', 'vegetables', 'yogurt', 'meat', 'citrus fruit', 'herbs']"
1012,"['brown bread', 'dairy', 'whole milk', 'tropical fruit', 'bags', 'vegetables', 'yogurt', 'root vegetables', 'meat', 'bakery']"
1013,"['sweets', 'napkins', 'dairy', 'whole milk', 'tropical fruit', 'condiments', 'frozen meals', 'oils', 'bottled water', 'vegetables', 'hard cheese', 'domestic eggs', 'root vegetables', 'meat', 'bakery']"
1014,"['cookware', 'dairy', 'whole milk', 'yogurt', 'beverages', 'meat', 'bakery', 'sausage']"
1015,"['sweets', 'beef', 'whole milk', 'snacks', 'fruitvegetable juice', 'citrus fruit', 'bakery']"
1016,"['pip fruit', 'condiments', 'oils', 'uhtmilk', 'beverages', 'dairy', 'meat', 'bakery']"
1017,"['brown bread', 'beef', 'pet_care', 'dessert', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'bakery']"
1018,"['sweets', 'curd', 'berries', 'domestic eggs', 'root vegetables', 'beverages', 'dairy', 'bakery']"
1019,"['beverages', 'meat']"
1020,"['spices', 'stationery', 'butter', 'frozen meals', 'bags', 'yogurt', 'beverages', 'fish', 'bakery']"
1021,"['sliced cheese', 'tropical fruit', 'curd', 'butter', 'yogurt', 'baking_ingredients', 'beverages', 'bakery']"
1022,"['napkins', 'beef', 'whole milk', 'fruitvegetable juice', 'dairy', 'sausage']"
1023,"['specialty bar', 'curd', 'berries', 'frozen meals', 'personal_care', 'soda', 'fruits_vegetables', 'domestic eggs', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'meat', 'bakery', 'sausage']"
1024,"['root vegetables', 'vegetables', 'tropical fruit', 'fish']"
1025,"['dairy', 'uhtmilk', 'bags', 'beverages', 'meat', 'coffee']"
1026,"['dental care', 'butter', 'fruitvegetable juice', 'snacks', 'dessert', 'pickled vegetables', 'bakery', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'citrus fruit', 'sweets', 'sausage']"
1027,"['spices', 'whole milk', 'bottled water', 'cleaning', 'beverages', 'meat', 'bakery']"
1028,"['sweets', 'gardening', 'butter', 'bottled water', 'soda', 'sweeteners', 'vegetables', 'baking_ingredients', 'root vegetables', 'beverages', 'bakery']"
1029,"['meat', 'dessert']"
1031,"['ice cream', 'gardening', 'berries', 'vegetables', 'beverages', 'dairy']"
1032,"['ice cream', 'stationery', 'whole milk', 'butter', 'pastry', 'berries', 'bags', 'soda', 'vegetables', 'yogurt', 'root vegetables', 'dairy', 'bakery']"
1033,"['tropical fruit', 'fruitvegetable juice', 'snacks', 'pastry', 'dessert', 'soda', 'meat', 'bakery', 'sausage']"
1034,"['pip fruit', 'pet_care', 'stationery', 'tropical fruit', 'frozen meals', 'bottled water', 'bags', 'domestic eggs', 'yogurt']"
1035,"['pip fruit', 'spices', 'stationery', 'whole milk', 'vegetables', 'yogurt', 'beverages', 'bakery', 'sausage']"
1036,"['condiments', 'fruitvegetable juice']"
1037,"['sweets', 'tropical fruit', 'chewing gum', 'bags', 'yogurt', 'beverages', 'meat', 'citrus fruit', 'bakery']"
1038,"['pip fruit', 'napkins', 'dairy', 'whole milk', 'butter', 'ready_meals', 'fruitvegetable juice', 'frozen meals', 'vegetables', 'herbs', 'meat', 'margarine', 'sweets', 'sausage']"
1039,"['snacks', 'bakery']"
1040,"['whole milk', 'tropical fruit', 'fruits_vegetables', 'vegetables', 'grains', 'yogurt', 'root vegetables', 'meat', 'bakery']"
1041,"['brown bread', 'whole milk', 'tropical fruit', 'dessert', 'prosecco', 'vegetables', 'yogurt', 'meat', 'sweets']"
1042,"['beef', 'whole milk', 'dessert', 'bottled water', 'vegetables', 'citrus fruit']"
1043,"['sweets', 'napkins', 'sliced cheese', 'tropical fruit', 'whole milk', 'citrus fruit', 'bakery']"
1044,"['tropical fruit', 'curd', 'vegetables', 'root vegetables']"
1045,"['butter', 'fruitvegetable juice', 'ready_meals', 'vegetables', 'yogurt', 'root vegetables', 'meat', 'sweets']"
1046,"['pastry', 'bottled water', 'meat', 'whole milk']"
1047,"['pip fruit', 'butter', 'curd', 'soda', 'sweet spreads']"
1048,"['whole milk', 'tropical fruit', 'condensed milk', 'soda', 'bakery']"
1049,"['sweets', 'whole milk', 'butter', 'specialty bar', 'meat', 'herbs', 'margarine', 'bakery']"
1050,"['dairy', 'pet_care', 'whole milk', 'household', 'dishes', 'uhtmilk', 'hygiene articles', 'vegetables', 'grains', 'yogurt', 'beverages', 'meat', 'bakery']"
1051,"['dairy', 'tropical fruit', 'snacks', 'dishes', 'bags', 'soda', 'personal_care', 'vegetables', 'beverages', 'meat', 'coffee', 'fish', 'bakery']"
1052,"['beef', 'pet_care', 'whole milk', 'butter', 'chewing gum', 'bottled water', 'bags', 'soda', 'fruits', 'coffee', 'vegetables', 'cleaning', 'yogurt', 'root vegetables', 'beverages', 'dairy', 'margarine', 'meat']"
1053,"['whole milk', 'pastry', 'soda', 'sweeteners', 'vegetables', 'meat', 'bakery']"
1054,"['electronics', 'fruitvegetable juice', 'oils', 'soda', 'vegetables', 'beverages', 'meat', 'citrus fruit', 'margarine']"
1055,"['stationery', 'bottled water', 'soda', 'yogurt', 'beverages', 'meat']"
1056,"['pip fruit', 'whole milk', 'vegetables', 'dairy', 'meat', 'meat spreads']"
1057,"['sliced cheese', 'tropical fruit', 'snacks', 'pickled vegetables', 'uhtmilk', 'soda', 'domestic eggs']"
1058,"['bottled water', 'vegetables', 'yogurt', 'root vegetables', 'meat', 'sausage']"
1059,"['snacks', 'dessert', 'bags', 'dairy', 'sausage']"
1061,"['beef', 'whole milk', 'tropical fruit', 'ready_meals', 'fruitvegetable juice', 'dessert', 'soda', 'hard cheese', 'root vegetables', 'beverages', 'dairy', 'margarine', 'sweets']"
1062,"['dairy', 'whole milk', 'tropical fruit', 'butter', 'condiments', 'bags', 'fruits', 'vegetables', 'yogurt', 'meat', 'bakery']"
1063,"['sweets', 'citrus fruit', 'bakery', 'whole milk']"
1064,"['whole milk', 'vegetables', 'root vegetables', 'dairy', 'bakery']"
1065,"['beef', 'whole milk', 'tropical fruit', 'dessert', 'soda', 'beverages', 'meat', 'fish', 'bakery']"
1066,"['whole milk', 'oils', 'bags', 'vegetables', 'root vegetables', 'beverages']"
1067,"['sweets', 'whole milk', 'tropical fruit', 'meat', 'coffee', 'bakery']"
1068,"['soda', 'meat', 'dairy', 'yogurt']"
1069,"['brown bread', 'spices', 'sliced cheese', 'tropical fruit', 'fruitvegetable juice', 'dishes', 'domestic eggs', 'beverages', 'meat', 'bakery']"
1070,"['beverages', 'dairy', 'citrus fruit', 'stationery']"
1071,"['fruitvegetable juice', 'bakery', 'yogurt']"
1072,"['beverages', 'meat', 'vegetables']"
1073,"['pip fruit', 'brown bread', 'spices', 'curd', 'dishes', 'prosecco', 'misc', 'bottled water', 'yogurt', 'domestic eggs']"
